"Datum","Tijd","Tijdzone","Naam","Type","Status","Valuta","Bedrag","Kosten","Totaal","Wisselkoers","Ontvangstbewijsreferentie","Saldo","Transactiereferentie","Objecttitel"
"08-06-2025","19:00:48","CEST","Customer Service - Epoch","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-23,93","0,00","-23,93",,"","-23,93","4KR94224MC5181849",""
"08-06-2025","19:00:48","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","23,93","0,00","23,93",,"","0,00","21636432CW997094M",""
"09-06-2025","11:36:53","CEST","Headphones","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","USD","-3,78","0,00","-3,78",,"","-3,78","9AA35699CF048901Y",""
"09-06-2025","11:36:53","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","3,46","0,00","3,46",,"","3,46","0YK0473923920380L",""
"09-06-2025","11:36:53","CEST","","Algemene valutaomrekening","Voltooid","EUR","-3,46","0,00","-3,46",1.091436408611789,"","0,00","45440491T3083122Y",""
"09-06-2025","11:36:53","CEST","","Algemene valutaomrekening","Voltooid","USD","3,78","0,00","3,78",,"","0,00","6L135725K8032573Y",""
"09-06-2025","14:42:04","CEST","Microsoft Payments","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-11,99","0,00","-11,99",,"","-11,99","4KX16521DV1960936",""
"09-06-2025","14:42:04","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","11,99","0,00","11,99",,"","0,00","3U695067T5675954R",""
"10-06-2025","18:23:45","CEST","Epoch.com, LLC","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-36,81","0,00","-36,81",,"","-36,81","7BV558696R236584N",""
"10-06-2025","18:23:45","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","36,81","0,00","36,81",,"","0,00","9CL92344897315241",""
"12-06-2025","11:24:06","CEST","Plex, Inc.","Vooraf goedgekeurde betaling – rekening betaald door gebruiker","Voltooid","EUR","-5,99","0,00","-5,99",,"","-5,99","05410260US047882M",""
"12-06-2025","11:24:06","CEST","","Bankstorting naar PP-rekening ","In behandeling","EUR","5,99","0,00","5,99",,"","0,00","55533010ED142781T",""
